rank,customerID,calibrated_probability,actual_churn,budget_before,success,budget_after,cumulative_profit
1,0295-PPHDO,1.0,1,1000,True,1090,90
2,1069-XAIEM,1.0,1,1090,True,1180,180
3,5178-LMXOP,1.0,1,1180,True,1270,270
4,0235-KGSLC,0.8923076923076924,1,1270,True,1360,360
5,0390-DCFDQ,0.8923076923076924,1,1360,True,1450,450
6,0655-RBDUG,0.8923076923076924,1,1450,True,1540,540
7,0679-IDSTG,0.8923076923076924,1,1540,True,1630,630
8,0841-NULXI,0.8923076923076924,1,1630,True,1720,720
9,0970-ETWGE,0.8923076923076924,1,1720,True,1810,810
10,1143-NMNQJ,0.8923076923076924,1,1810,True,1900,900
11,1400-MMYXY,0.8923076923076924,1,1900,True,1990,990
12,1448-PWKYE,0.8923076923076924,1,1990,True,2080,1080
13,1628-BIZYP,0.8923076923076924,0,2080,False,2070,1070
14,1768-ZAIFU,0.8923076923076924,1,2070,True,2160,1160
15,1820-TQVEV,0.8923076923076924,1,2160,True,2250,1250
16,1853-UDXBW,0.8923076923076924,1,2250,True,2340,1340
17,2027-FECZV,0.8923076923076924,1,2340,True,2430,1430
18,2034-GDRCN,0.8923076923076924,1,2430,True,2520,1520
19,2202-CUYXZ,0.8923076923076924,1,2520,True,2610,1610
20,2254-DLXRI,0.8923076923076924,0,2610,False,2600,1600
21,2514-GINMM,0.8923076923076924,1,2600,True,2690,1690
22,2545-EBUPK,0.8923076923076924,0,2690,False,2680,1680
23,2609-IAICY,0.8923076923076924,1,2680,True,2770,1770
24,2754-SDJRD,0.8923076923076924,0,2770,False,2760,1760
25,2865-TCHJW,0.8923076923076924,1,2760,True,2850,1850
26,2867-UIMSS,0.8923076923076924,1,2850,True,2940,1940
27,3006-XIMLN,0.8923076923076924,1,2940,True,3030,2030
28,3244-DCJWY,0.8923076923076924,1,3030,True,3120,2120
29,3292-PBZEJ,0.8923076923076924,0,3120,False,3110,2110
30,3422-LYEPQ,0.8923076923076924,1,3110,True,3200,2200
31,3707-GNWHM,0.8923076923076924,1,3200,True,3290,2290
32,3716-BDVDB,0.8923076923076924,1,3290,True,3380,2380
33,3722-WPXTK,0.8923076923076924,1,3380,True,3470,2470
34,4415-IJZTP,0.8923076923076924,1,3470,True,3560,2560
35,4445-ZJNMU,0.8923076923076924,0,3560,False,3550,2550
36,4587-VVTOX,0.8923076923076924,1,3550,True,3640,2640
37,4750-ZRXIU,0.8923076923076924,1,3640,True,3730,2730
38,4927-WWOOZ,0.8923076923076924,0,3730,False,3720,2720
39,5167-ZFFMM,0.8923076923076924,1,3720,True,3810,2810
40,5186-SAMNZ,0.8923076923076924,1,3810,True,3900,2900
41,5196-SGOAK,0.8923076923076924,1,3900,True,3990,2990
42,5376-DEQCP,0.8923076923076924,1,3990,True,4080,3080
43,5419-CONWX,0.8923076923076924,1,4080,True,4170,3170
44,5542-TBBWB,0.8923076923076924,0,4170,False,4160,3160
45,6023-YEBUP,0.8923076923076924,1,4160,True,4250,3250
46,6230-BSUXY,0.8923076923076924,1,4250,True,4340,3340
47,6372-RFVNS,0.8923076923076924,1,4340,True,4430,3430
48,6630-UJZMY,0.8923076923076924,0,4430,False,4420,3420
49,6857-VWJDT,0.8923076923076924,1,4420,True,4510,3510
50,6861-XWTWQ,0.8923076923076924,1,4510,True,4600,3600
51,6910-HADCM,0.8923076923076924,1,4600,True,4690,3690
52,6969-MVBAI,0.8923076923076924,0,4690,False,4680,3680
53,7180-PISOG,0.8923076923076924,1,4680,True,4770,3770
54,7181-BQYBV,0.8923076923076924,1,4770,True,4860,3860
55,7209-JCUDS,0.8923076923076924,1,4860,True,4950,3950
56,7409-KIUTL,0.8923076923076924,1,4950,True,5040,4040
57,8161-QYMTT,0.8923076923076924,0,5040,False,5030,4030
58,8375-DKEBR,0.8923076923076924,1,5030,True,5120,4120
59,8380-PEFPE,0.8923076923076924,1,5120,True,5210,4210
60,8593-WHYHV,0.8923076923076924,1,5210,True,5300,4300
61,8622-ZLFKO,0.8923076923076924,0,5300,False,5290,4290
62,8739-XNIKG,0.8923076923076924,0,5290,False,5280,4280
63,8775-ERLNB,0.8923076923076924,0,5280,False,5270,4270
64,8821-XNHVZ,0.8923076923076924,1,5270,True,5360,4360
65,8884-ADFVN,0.8923076923076924,1,5360,True,5450,4450
66,9057-SIHCH,0.8923076923076924,1,5450,True,5540,4540
67,9248-OJYKK,0.8923076923076924,1,5540,True,5630,4630
68,9507-EXLTT,0.8923076923076924,1,5630,True,5720,4720
69,9804-ICWBG,0.8923076923076924,1,5720,True,5810,4810
70,3320-VEOYC,0.82,0,5810,False,5800,4800
71,3338-CVVEH,0.82,0,5800,False,5790,4790
72,4713-LZDRV,0.82,1,5790,True,5880,4880
73,6137-NICCO,0.82,0,5880,False,5870,4870
74,6979-ZNSFF,0.82,1,5870,True,5960,4960
75,7817-BOQPW,0.82,1,5960,True,6050,5050
76,8258-GSTJK,0.82,1,6050,True,6140,5140
77,9221-OTIVJ,0.82,1,6140,True,6230,5230
78,9940-RHLFB,0.82,1,6230,True,6320,5320
79,1320-HTRDR,0.8181818181818182,1,6320,True,6410,5410
80,5052-PNLOS,0.8181818181818182,1,6410,True,6500,5500
81,7249-WBIYX,0.8181818181818182,1,6500,True,6590,5590
82,9611-CTWIH,0.8181818181818182,1,6590,True,6680,5680
83,1731-TVIUK,0.8143419633966035,1,6680,True,6770,5770
84,4090-KPJIP,0.7777777777777778,0,6770,False,6760,5760
85,0616-ATFGB,0.6875,1,6760,True,6850,5850
86,1024-GUALD,0.6875,1,6850,True,6940,5940
87,4115-NZRKS,0.6875,0,6940,False,6930,5930
88,6328-ZPBGN,0.6875,1,6930,True,7020,6020
89,7218-HKQFK,0.6875,1,7020,True,7110,6110
90,8443-ZRDBZ,0.6875,1,7110,True,7200,6200
91,9851-KIELU,0.6875,1,7200,True,7290,6290
92,9878-TNQGW,0.6875,1,7290,True,7380,6380
93,3877-JRJIP,0.6864856909657229,1,7380,True,7470,6470
94,5698-BQJOH,0.683954851033845,1,7470,True,7560,6560
95,3519-ZKXGG,0.6793724106678628,1,7560,True,7650,6650
96,8245-UMPYT,0.6779053305663176,1,7650,True,7740,6740
97,3677-IYRBF,0.6521739130434783,1,7740,True,7830,6830
98,8083-YTZES,0.6521739130434783,1,7830,True,7920,6920
99,0871-URUWO,0.6438356164383562,1,7920,True,8010,7010
100,1980-KXVPM,0.6438356164383562,1,8010,True,8100,7100
101,2077-MPJQO,0.6438356164383562,0,8100,False,8090,7090
102,2485-ITVKB,0.6438356164383562,1,8090,True,8180,7180
103,2495-INZWQ,0.6438356164383562,1,8180,True,8270,7270
104,2959-MJHIC,0.6438356164383562,1,8270,True,8360,7360
105,3030-YDNRM,0.6438356164383562,0,8360,False,8350,7350
106,3063-QFSZL,0.6438356164383562,1,8350,True,8440,7440
107,3199-XGZCY,0.6438356164383562,0,8440,False,8430,7430
108,3585-ISXZP,0.6438356164383562,1,8430,True,8520,7520
109,3721-CNEYS,0.6438356164383562,1,8520,True,8610,7610
110,4229-CZMLL,0.6438356164383562,1,8610,True,8700,7700
111,4342-HENTK,0.6438356164383562,1,8700,True,8790,7790
112,4806-KEXQR,0.6438356164383562,1,8790,True,8880,7880
113,5159-YFPKQ,0.6438356164383562,1,8880,True,8970,7970
114,5357-TZHPP,0.6438356164383562,1,8970,True,9060,8060
115,5382-SOYZL,0.6438356164383562,0,9060,False,9050,8050
116,5501-TVMGM,0.6438356164383562,0,9050,False,9040,8040
117,6608-QQLVK,0.6438356164383562,1,9040,True,9130,8130
118,6821-BUXUX,0.6438356164383562,1,9130,True,9220,8220
119,6856-RAURS,0.6438356164383562,0,9220,False,9210,8210
120,6892-XPFPU,0.6438356164383562,1,9210,True,9300,8300
121,7130-VTEWQ,0.6438356164383562,1,9300,True,9390,8390
122,7235-NXZCP,0.6438356164383562,1,9390,True,9480,8480
123,7273-TEFQD,0.6438356164383562,1,9480,True,9570,8570
124,7952-OBOYL,0.6438356164383562,0,9570,False,9560,8560
125,8266-VBFQL,0.6438356164383562,0,9560,False,9550,8550
126,8445-DNBAE,0.6438356164383562,0,9550,False,9540,8540
127,8752-STIVR,0.6438356164383562,1,9540,True,9630,8630
128,9334-GWGOW,0.6438356164383562,0,9630,False,9620,8620
129,9717-QEBGU,0.6438356164383562,0,9620,False,9610,8610
130,9747-DDZOS,0.6438356164383562,1,9610,True,9700,8700
131,9907-SWKKF,0.6438356164383562,1,9700,True,9790,8790
132,1751-NCDLI,0.6341463414634148,0,9790,False,9780,8780
