rank,customerID,calibrated_probability,actual_churn,budget_before,success,budget_after,cumulative_profit
1,0295-PPHDO,1.0,1,1000,True,1090,90
2,5178-LMXOP,1.0,1,1090,True,1180,180
3,6857-VWJDT,1.0,1,1180,True,1270,270
4,1069-XAIEM,0.9869200535438423,1,1270,True,1360,360
5,0235-KGSLC,0.900709219858156,1,1360,True,1450,450
6,0390-DCFDQ,0.900709219858156,1,1450,True,1540,540
7,0655-RBDUG,0.900709219858156,1,1540,True,1630,630
8,0679-IDSTG,0.900709219858156,1,1630,True,1720,720
9,0970-ETWGE,0.900709219858156,1,1720,True,1810,810
10,1143-NMNQJ,0.900709219858156,1,1810,True,1900,900
11,1400-MMYXY,0.900709219858156,1,1900,True,1990,990
12,1448-PWKYE,0.900709219858156,1,1990,True,2080,1080
13,1628-BIZYP,0.900709219858156,0,2080,False,2070,1070
14,1768-ZAIFU,0.900709219858156,1,2070,True,2160,1160
15,1820-TQVEV,0.900709219858156,1,2160,True,2250,1250
16,1853-UDXBW,0.900709219858156,1,2250,True,2340,1340
17,2202-CUYXZ,0.900709219858156,1,2340,True,2430,1430
18,2254-DLXRI,0.900709219858156,0,2430,False,2420,1420
19,2514-GINMM,0.900709219858156,1,2420,True,2510,1510
20,2545-EBUPK,0.900709219858156,0,2510,False,2500,1500
21,2609-IAICY,0.900709219858156,1,2500,True,2590,1590
22,2865-TCHJW,0.900709219858156,1,2590,True,2680,1680
23,2867-UIMSS,0.900709219858156,1,2680,True,2770,1770
24,3006-XIMLN,0.900709219858156,1,2770,True,2860,1860
25,3244-DCJWY,0.900709219858156,1,2860,True,2950,1950
26,3422-LYEPQ,0.900709219858156,1,2950,True,3040,2040
27,3707-GNWHM,0.900709219858156,1,3040,True,3130,2130
28,3716-BDVDB,0.900709219858156,1,3130,True,3220,2220
29,3722-WPXTK,0.900709219858156,1,3220,True,3310,2310
30,4415-IJZTP,0.900709219858156,1,3310,True,3400,2400
31,4587-VVTOX,0.900709219858156,1,3400,True,3490,2490
32,4927-WWOOZ,0.900709219858156,0,3490,False,3480,2480
33,5052-PNLOS,0.900709219858156,1,3480,True,3570,2570
34,5167-ZFFMM,0.900709219858156,1,3570,True,3660,2660
35,5196-SGOAK,0.900709219858156,1,3660,True,3750,2750
36,5376-DEQCP,0.900709219858156,1,3750,True,3840,2840
37,5419-CONWX,0.900709219858156,1,3840,True,3930,2930
38,5542-TBBWB,0.900709219858156,0,3930,False,3920,2920
39,6023-YEBUP,0.900709219858156,1,3920,True,4010,3010
40,6230-BSUXY,0.900709219858156,1,4010,True,4100,3100
41,6372-RFVNS,0.900709219858156,1,4100,True,4190,3190
42,6861-XWTWQ,0.900709219858156,1,4190,True,4280,3280
43,6969-MVBAI,0.900709219858156,0,4280,False,4270,3270
44,7180-PISOG,0.900709219858156,1,4270,True,4360,3360
45,7181-BQYBV,0.900709219858156,1,4360,True,4450,3450
46,8161-QYMTT,0.900709219858156,0,4450,False,4440,3440
47,8375-DKEBR,0.900709219858156,1,4440,True,4530,3530
48,8593-WHYHV,0.900709219858156,1,4530,True,4620,3620
49,8775-ERLNB,0.900709219858156,0,4620,False,4610,3610
50,8821-XNHVZ,0.900709219858156,1,4610,True,4700,3700
51,8884-ADFVN,0.900709219858156,1,4700,True,4790,3790
52,9057-SIHCH,0.900709219858156,1,4790,True,4880,3880
53,9248-OJYKK,0.900709219858156,1,4880,True,4970,3970
54,9507-EXLTT,0.900709219858156,1,4970,True,5060,4060
55,9804-ICWBG,0.900709219858156,1,5060,True,5150,4150
56,0616-ATFGB,0.8767123287671232,1,5150,True,5240,4240
57,0841-NULXI,0.8767123287671232,1,5240,True,5330,4330
58,2034-GDRCN,0.8767123287671232,1,5330,True,5420,4420
59,3320-VEOYC,0.8767123287671232,0,5420,False,5410,4410
60,4445-ZJNMU,0.8767123287671232,0,5410,False,5400,4400
61,4750-ZRXIU,0.8767123287671232,1,5400,True,5490,4490
62,5186-SAMNZ,0.8767123287671232,1,5490,True,5580,4580
63,6328-ZPBGN,0.8767123287671232,1,5580,True,5670,4670
64,6630-UJZMY,0.8767123287671232,0,5670,False,5660,4660
65,6910-HADCM,0.8767123287671232,1,5660,True,5750,4750
66,7409-KIUTL,0.8767123287671232,1,5750,True,5840,4840
67,8258-GSTJK,0.8767123287671232,1,5840,True,5930,4930
68,8380-PEFPE,0.8767123287671232,1,5930,True,6020,5020
69,8622-ZLFKO,0.8767123287671232,0,6020,False,6010,5010
70,8739-XNIKG,0.8767123287671232,0,6010,False,6000,5000
71,9611-CTWIH,0.8767123287671232,1,6000,True,6090,5090
72,9940-RHLFB,0.8767123287671232,1,6090,True,6180,5180
73,6979-ZNSFF,0.8333333333333334,1,6180,True,6270,5270
74,0871-URUWO,0.7252747252747253,1,6270,True,6360,5360
75,1320-HTRDR,0.7252747252747253,1,6360,True,6450,5450
76,1731-TVIUK,0.7252747252747253,1,6450,True,6540,5540
77,2077-MPJQO,0.7252747252747253,0,6540,False,6530,5530
78,2754-SDJRD,0.7252747252747253,0,6530,False,6520,5520
79,2959-MJHIC,0.7252747252747253,1,6520,True,6610,5610
80,3338-CVVEH,0.7252747252747253,0,6610,False,6600,5600
81,3519-ZKXGG,0.7252747252747253,1,6600,True,6690,5690
82,3585-ISXZP,0.7252747252747253,1,6690,True,6780,5780
83,3677-IYRBF,0.7252747252747253,1,6780,True,6870,5870
84,3750-CKVKH,0.7252747252747253,1,6870,True,6960,5960
85,3877-JRJIP,0.7252747252747253,1,6960,True,7050,6050
86,4090-KPJIP,0.7252747252747253,0,7050,False,7040,6040
87,4115-NZRKS,0.7252747252747253,0,7040,False,7030,6030
88,4229-CZMLL,0.7252747252747253,1,7030,True,7120,6120
89,4713-LZDRV,0.7252747252747253,1,7120,True,7210,6210
90,5357-TZHPP,0.7252747252747253,1,7210,True,7300,6300
91,5698-BQJOH,0.7252747252747253,1,7300,True,7390,6390
92,6137-NICCO,0.7252747252747253,0,7390,False,7380,6380
93,6856-RAURS,0.7252747252747253,0,7380,False,7370,6370
94,7198-GLXTC,0.7252747252747253,1,7370,True,7460,6460
95,7209-JCUDS,0.7252747252747253,1,7460,True,7550,6550
96,7218-HKQFK,0.7252747252747253,1,7550,True,7640,6640
97,7235-NXZCP,0.7252747252747253,1,7640,True,7730,6730
98,7249-WBIYX,0.7252747252747253,1,7730,True,7820,6820
99,7273-TEFQD,0.7252747252747253,1,7820,True,7910,6910
100,7817-BOQPW,0.7252747252747253,1,7910,True,8000,7000
101,8083-YTZES,0.7252747252747253,1,8000,True,8090,7090
102,8245-UMPYT,0.7252747252747253,1,8090,True,8180,7180
103,8443-ZRDBZ,0.7252747252747253,1,8180,True,8270,7270
104,8752-STIVR,0.7252747252747253,1,8270,True,8360,7360
105,9221-OTIVJ,0.7252747252747253,1,8360,True,8450,7450
106,9334-GWGOW,0.7252747252747253,0,8450,False,8440,7440
107,9878-TNQGW,0.7252747252747253,1,8440,True,8530,7530
108,0432-CAJZV,0.7142857142857143,0,8530,False,8520,7520
109,2027-FECZV,0.7142857142857143,1,8520,True,8610,7610
110,7130-VTEWQ,0.7142857142857143,1,8610,True,8700,7700
111,1980-KXVPM,0.6842105263157895,1,8700,True,8790,7790
112,3030-YDNRM,0.6842105263157895,0,8790,False,8780,7780
113,5501-TVMGM,0.6842105263157895,0,8780,False,8770,7770
114,9747-DDZOS,0.6842105263157895,1,8770,True,8860,7860
115,1024-GUALD,0.6666666666666666,1,8860,True,8950,7950
116,2495-INZWQ,0.6666666666666666,1,8950,True,9040,8040
117,2665-NPTGL,0.6666666666666666,0,9040,False,9030,8030
118,2761-OCIAX,0.6666666666666666,1,9030,True,9120,8120
119,3721-CNEYS,0.6666666666666666,1,9120,True,9210,8210
120,4735-ASGMA,0.6666666666666666,1,9210,True,9300,8300
121,4806-KEXQR,0.6666666666666666,1,9300,True,9390,8390
122,5159-YFPKQ,0.6666666666666666,1,9390,True,9480,8480
123,5382-SOYZL,0.6666666666666666,0,9480,False,9470,8470
124,6892-XPFPU,0.6666666666666666,1,9470,True,9560,8560
125,7029-RPUAV,0.6666666666666666,1,9560,True,9650,8650
126,8397-MVTAZ,0.6666666666666666,1,9650,True,9740,8740
127,9717-QEBGU,0.6666666666666666,0,9740,False,9730,8730
128,0004-TLHLJ,0.6349206349206349,1,9730,True,9820,8820
129,1379-FRVEB,0.6349206349206349,0,9820,False,9810,8810
130,1751-NCDLI,0.6349206349206349,0,9810,False,9800,8800
131,2439-LYPMQ,0.6349206349206349,0,9800,False,9790,8790
132,2485-ITVKB,0.6349206349206349,1,9790,True,9880,8880
133,2737-YNGYW,0.6349206349206349,1,9880,True,9970,8970
134,2985-FMWYF,0.6349206349206349,0,9970,False,9960,8960
135,3063-QFSZL,0.6349206349206349,1,9960,True,10050,9050
136,3199-XGZCY,0.6349206349206349,0,10050,False,10040,9040
137,4342-HENTK,0.6349206349206349,1,10040,True,10130,9130
138,4686-UXDML,0.6349206349206349,0,10130,False,10120,9120
139,4706-AXVKM,0.6349206349206349,1,10120,True,10210,9210
140,4706-DGAHW,0.6349206349206349,0,10210,False,10200,9200
141,6047-YHPVI,0.6349206349206349,1,10200,True,10290,9290
142,6077-BDPXA,0.6349206349206349,0,10290,False,10280,9280
143,6376-GAHQE,0.6349206349206349,1,10280,True,10370,9370
144,6543-XRMYR,0.6349206349206349,1,10370,True,10460,9460
145,6608-QQLVK,0.6349206349206349,1,10460,True,10550,9550
146,7005-CCBKV,0.6349206349206349,1,10550,True,10640,9640
147,7354-OIJLX,0.6349206349206349,0,10640,False,10630,9630
148,7495-OOKFY,0.6349206349206349,1,10630,True,10720,9720
149,7571-YXDAD,0.6349206349206349,1,10720,True,10810,9810
150,7861-UVUFT,0.6349206349206349,1,10810,True,10900,9900
151,8080-DDEMJ,0.6349206349206349,1,10900,True,10990,9990
152,8132-YPVBX,0.6349206349206349,0,10990,False,10980,9980
153,8361-LTMKD,0.6349206349206349,1,10980,True,11070,10070
154,8445-DNBAE,0.6349206349206349,0,11070,False,11060,10060
155,8541-QVFKM,0.6349206349206349,0,11060,False,11050,10050
156,8650-RHRKE,0.6349206349206349,1,11050,True,11140,10140
157,8739-WWKDU,0.6349206349206349,1,11140,True,11230,10230
158,8873-GLDMH,0.6349206349206349,0,11230,False,11220,10220
159,9279-CJEOJ,0.6349206349206349,0,11220,False,11210,10210
160,9420-LOJKX,0.6349206349206349,1,11210,True,11300,10300
161,9643-AVVWI,0.6349206349206349,0,11300,False,11290,10290
162,9685-WKZGT,0.6349206349206349,1,11290,True,11380,10380
163,9907-SWKKF,0.6349206349206349,1,11380,True,11470,10470
164,2386-LAHRK,0.5925925925925926,1,11470,True,11560,10560
165,6651-AZVTJ,0.5925925925925926,1,11560,True,11650,10650
166,0023-XUOPT,0.5858823529411764,1,11650,True,11740,10740
167,0258-NOKBL,0.5858823529411764,0,11740,False,11730,10730
168,0265-PSUAE,0.5858823529411764,0,11730,False,11720,10720
169,0330-IVZHA,0.5858823529411764,1,11720,True,11810,10810
170,0376-YMCJC,0.5858823529411764,1,11810,True,11900,10900
171,0388-EOPEX,0.5858823529411764,1,11900,True,11990,10990
172,0506-LVNGN,0.5858823529411764,1,11990,True,12080,11080
173,0524-IAVZO,0.5858823529411764,1,12080,True,12170,11170
174,0576-WNXXC,0.5858823529411764,1,12170,True,12260,11260
175,0685-MLYYM,0.5858823529411764,1,12260,True,12350,11350
176,0876-WDUUZ,0.5858823529411764,1,12350,True,12440,11440
177,0899-LIIBW,0.5858823529411764,0,12440,False,12430,11430
178,0923-PNFUB,0.5858823529411764,1,12430,True,12520,11520
179,0952-KMEEH,0.5858823529411764,1,12520,True,12610,11610
180,0958-YHXGP,0.5858823529411764,0,12610,False,12600,11600
181,1016-DJTSV,0.5858823529411764,0,12600,False,12590,11590
182,1077-HUUJM,0.5858823529411764,0,12590,False,12580,11580
183,1112-CUNAO,0.5858823529411764,1,12580,True,12670,11670
184,1236-WFCDV,0.5858823529411764,1,12670,True,12760,11760
185,1302-UHBDD,0.5858823529411764,0,12760,False,12750,11750
186,1335-NTIUC,0.5858823529411764,0,12750,False,12740,11740
187,1475-VWVDO,0.5858823529411764,0,12740,False,12730,11730
188,1522-VVDMG,0.5858823529411764,1,12730,True,12820,11820
189,1587-FKLZB,0.5858823529411764,1,12820,True,12910,11910
190,1833-TCXKK,0.5858823529411764,0,12910,False,12900,11900
191,1867-BDVFH,0.5858823529411764,1,12900,True,12990,11990
192,1902-XBTFB,0.5858823529411764,1,12990,True,13080,12080
193,2025-JKFWI,0.5858823529411764,1,13080,True,13170,12170
194,2057-ZBLPD,0.5858823529411764,1,13170,True,13260,12260
195,2325-NBPZG,0.5858823529411764,0,13260,False,13250,12250
196,2452-KDRRH,0.5858823529411764,0,13250,False,13240,12240
197,2482-CZGBB,0.5858823529411764,1,13240,True,13330,12330
198,2754-XBHTB,0.5858823529411764,1,13330,True,13420,12420
199,2800-QQUSO,0.5858823529411764,0,13420,False,13410,12410
200,2845-HSJCY,0.5858823529411764,1,13410,True,13500,12500
201,2860-RANUS,0.5858823529411764,1,13500,True,13590,12590
202,2919-HBCJO,0.5858823529411764,1,13590,True,13680,12680
203,3197-ARFOY,0.5858823529411764,0,13680,False,13670,12670
204,3292-PBZEJ,0.5858823529411764,0,13670,False,13660,12660
205,3312-UUMZW,0.5858823529411764,0,13660,False,13650,12650
206,3334-CTHOL,0.5858823529411764,1,13650,True,13740,12740
207,3365-SAIGS,0.5858823529411764,0,13740,False,13730,12730
208,3374-LXDEV,0.5858823529411764,1,13730,True,13820,12820
209,3627-FHKBK,0.5858823529411764,1,13820,True,13910,12910
210,3658-KIBGF,0.5858823529411764,1,13910,True,14000,13000
211,3672-YITQD,0.5858823529411764,1,14000,True,14090,13090
212,3717-OEAUQ,0.5858823529411764,0,14090,False,14080,13080
213,3891-PUQOD,0.5858823529411764,1,14080,True,14170,13170
214,3908-BLSYF,0.5858823529411764,1,14170,True,14260,13260
215,3966-HRMZA,0.5858823529411764,0,14260,False,14250,13250
216,4029-HPFVY,0.5858823529411764,0,14250,False,14240,13240
217,4237-RLAQD,0.5858823529411764,1,14240,True,14330,13330
218,4283-FUTGF,0.5858823529411764,1,14330,True,14420,13420
219,4301-VVZKA,0.5858823529411764,0,14420,False,14410,13410
220,4317-VTEOA,0.5858823529411764,1,14410,True,14500,13500
221,4512-ZUIYL,0.5858823529411764,1,14500,True,14590,13590
222,4631-OACRM,0.5858823529411764,1,14590,True,14680,13680
223,4817-VYYWS,0.5858823529411764,1,14680,True,14770,13770
224,4873-ILOLJ,0.5858823529411764,1,14770,True,14860,13860
