model,method,brier,log_loss,selected
MLP,platt,0.13689564712282634,0.42580033590362926,False
MLP,isotonic,0.1357327829253298,0.4253706339300799,True
CatBoost,platt,0.1340449363720613,0.4178718836892088,False
CatBoost,isotonic,0.13306994046599013,0.4146560618351341,True
LightGBM,platt,0.14154827303218545,0.4398920695903257,False
LightGBM,isotonic,0.14018884187768746,0.43261156765613973,True
Logistic Regression,platt,0.13620953226362617,0.42343886458830904,False
Logistic Regression,isotonic,0.13573736293157332,0.423172120874583,True
Random Forest,platt,0.1362497826014312,0.42332680427458813,False
Random Forest,isotonic,0.13607986455837168,0.42310772325774054,True
XGBoost,platt,0.13745554513838457,0.42766194624048826,False
XGBoost,isotonic,0.1363626037888027,0.4247869376777649,True
