rank,row_index,customerID,calibrated_probability,actual_churn,budget_before,success,budget_after,cumulative_profit
1,1221,0295-PPHDO,1.0,1,1000,True,1090,90
2,1109,1069-XAIEM,1.0,1,1090,True,1180,180
3,1090,5178-LMXOP,1.0,1,1180,True,1270,270
4,51,7181-BQYBV,1.0,1,1270,True,1360,360
5,276,0235-KGSLC,0.8960396039603961,1,1360,True,1450,450
6,1233,0390-DCFDQ,0.8960396039603961,1,1450,True,1540,540
7,1188,0655-RBDUG,0.8960396039603961,1,1540,True,1630,630
8,1393,0679-IDSTG,0.8960396039603961,1,1630,True,1720,720
9,1178,0841-NULXI,0.8960396039603961,1,1720,True,1810,810
10,83,0970-ETWGE,0.8960396039603961,1,1810,True,1900,900
11,788,1143-NMNQJ,0.8960396039603961,1,1900,True,1990,990
12,1138,1400-MMYXY,0.8960396039603961,1,1990,True,2080,1080
13,542,1448-PWKYE,0.8960396039603961,1,2080,True,2170,1170
14,952,1628-BIZYP,0.8960396039603961,0,2170,False,2160,1160
15,98,1768-ZAIFU,0.8960396039603961,1,2160,True,2250,1250
16,341,1820-TQVEV,0.8960396039603961,1,2250,True,2340,1340
17,911,1853-UDXBW,0.8960396039603961,1,2340,True,2430,1430
18,285,2027-FECZV,0.8960396039603961,1,2430,True,2520,1520
19,34,2034-GDRCN,0.8960396039603961,1,2520,True,2610,1610
20,762,2202-CUYXZ,0.8960396039603961,1,2610,True,2700,1700
21,733,2254-DLXRI,0.8960396039603961,0,2700,False,2690,1690
22,171,2514-GINMM,0.8960396039603961,1,2690,True,2780,1780
23,889,2545-EBUPK,0.8960396039603961,0,2780,False,2770,1770
24,1259,2609-IAICY,0.8960396039603961,1,2770,True,2860,1860
25,1,2754-SDJRD,0.8960396039603961,0,2860,False,2850,1850
26,1197,2865-TCHJW,0.8960396039603961,1,2850,True,2940,1940
27,435,2867-UIMSS,0.8960396039603961,1,2940,True,3030,2030
28,947,3006-XIMLN,0.8960396039603961,1,3030,True,3120,2120
29,1366,3244-DCJWY,0.8960396039603961,1,3120,True,3210,2210
30,1083,3422-LYEPQ,0.8960396039603961,1,3210,True,3300,2300
31,1116,3707-GNWHM,0.8960396039603961,1,3300,True,3390,2390
32,740,3716-BDVDB,0.8960396039603961,1,3390,True,3480,2480
33,278,3722-WPXTK,0.8960396039603961,1,3480,True,3570,2570
34,38,4415-IJZTP,0.8960396039603961,1,3570,True,3660,2660
35,630,4587-VVTOX,0.8960396039603961,1,3660,True,3750,2750
