rank,customerID,calibrated_probability,actual_churn,budget_before,success,budget_after,cumulative_profit
1,1069-XAIEM,0.8300653594771242,1,1000,True,1090,90
2,2545-EBUPK,0.8300653594771242,0,1090,False,1080,80
3,5178-LMXOP,0.8300653594771242,1,1080,True,1170,170
4,0295-PPHDO,0.704225352112676,1,1170,True,1260,260
5,1143-NMNQJ,0.704225352112676,1,1260,True,1350,350
6,1320-HTRDR,0.704225352112676,1,1350,True,1440,440
7,1400-MMYXY,0.704225352112676,1,1440,True,1530,530
8,2034-GDRCN,0.704225352112676,1,1530,True,1620,620
9,2077-MPJQO,0.704225352112676,0,1620,False,1610,610
10,2609-IAICY,0.704225352112676,1,1610,True,1700,700
11,2865-TCHJW,0.704225352112676,1,1700,True,1790,790
12,3519-ZKXGG,0.704225352112676,1,1790,True,1880,880
13,4090-KPJIP,0.704225352112676,0,1880,False,1870,870
14,4115-NZRKS,0.704225352112676,0,1870,False,1860,860
15,4415-IJZTP,0.704225352112676,1,1860,True,1950,950
16,4587-VVTOX,0.704225352112676,1,1950,True,2040,1040
17,4713-LZDRV,0.704225352112676,1,2040,True,2130,1130
18,4750-ZRXIU,0.704225352112676,1,2130,True,2220,1220
19,4927-WWOOZ,0.704225352112676,0,2220,False,2210,1210
20,6023-YEBUP,0.704225352112676,1,2210,True,2300,1300
21,6630-UJZMY,0.704225352112676,0,2300,False,2290,1290
22,6861-XWTWQ,0.704225352112676,1,2290,True,2380,1380
23,6969-MVBAI,0.704225352112676,0,2380,False,2370,1370
24,7130-VTEWQ,0.704225352112676,1,2370,True,2460,1460
25,7817-BOQPW,0.704225352112676,1,2460,True,2550,1550
26,8161-QYMTT,0.704225352112676,0,2550,False,2540,1540
27,8258-GSTJK,0.704225352112676,1,2540,True,2630,1630
28,8593-WHYHV,0.704225352112676,1,2630,True,2720,1720
29,8739-XNIKG,0.704225352112676,0,2720,False,2710,1710
30,8884-ADFVN,0.704225352112676,1,2710,True,2800,1800
31,9057-SIHCH,0.704225352112676,1,2800,True,2890,1890
32,9248-OJYKK,0.704225352112676,1,2890,True,2980,1980
33,9334-GWGOW,0.704225352112676,0,2980,False,2970,1970
34,9611-CTWIH,0.704225352112676,1,2970,True,3060,2060
35,0679-IDSTG,0.6666666666666667,1,3060,True,3150,2150
36,0970-ETWGE,0.6666666666666667,1,3150,True,3240,2240
37,3006-XIMLN,0.6666666666666667,1,3240,True,3330,2330
38,3199-XGZCY,0.6666666666666667,0,3330,False,3320,2320
39,3244-DCJWY,0.6666666666666667,1,3320,True,3410,2410
40,3320-VEOYC,0.6666666666666667,0,3410,False,3400,2400
41,3707-GNWHM,0.6666666666666667,1,3400,True,3490,2490
42,3722-WPXTK,0.6666666666666667,1,3490,True,3580,2580
43,4229-CZMLL,0.6666666666666667,1,3580,True,3670,2670
44,4342-HENTK,0.6666666666666667,1,3670,True,3760,2760
45,5376-DEQCP,0.6666666666666667,1,3760,True,3850,2850
46,6230-BSUXY,0.6666666666666667,1,3850,True,3940,2940
47,6328-ZPBGN,0.6666666666666667,1,3940,True,4030,3030
48,6856-RAURS,0.6666666666666667,0,4030,False,4020,3020
49,6979-ZNSFF,0.6666666666666667,1,4020,True,4110,3110
50,7180-PISOG,0.6666666666666667,1,4110,True,4200,3200
51,7181-BQYBV,0.6666666666666667,1,4200,True,4290,3290
52,7235-NXZCP,0.6666666666666667,1,4290,True,4380,3380
53,7249-WBIYX,0.6666666666666667,1,4380,True,4470,3470
54,7409-KIUTL,0.6666666666666667,1,4470,True,4560,3560
55,8083-YTZES,0.6666666666666667,1,4560,True,4650,3650
56,8245-UMPYT,0.6666666666666667,1,4650,True,4740,3740
