rank,customerID,calibrated_probability,actual_churn,budget_before,success,budget_after,cumulative_profit
1,0295-PPHDO,0.8636363636363636,1,1000,True,1090,90
2,1069-XAIEM,0.8636363636363636,1,1090,True,1180,180
3,1400-MMYXY,0.8636363636363636,1,1180,True,1270,270
4,2545-EBUPK,0.8636363636363636,0,1270,False,1260,260
5,5178-LMXOP,0.8636363636363636,1,1260,True,1350,350
6,6023-YEBUP,0.8636363636363636,1,1350,True,1440,440
7,6861-XWTWQ,0.8636363636363636,1,1440,True,1530,530
8,8884-ADFVN,0.8636363636363636,1,1530,True,1620,620
9,9057-SIHCH,0.8636363636363636,1,1620,True,1710,710
10,2865-TCHJW,0.7534246575342466,1,1710,True,1800,800
11,3006-XIMLN,0.7534246575342466,1,1800,True,1890,890
12,3320-VEOYC,0.7534246575342466,0,1890,False,1880,880
13,4750-ZRXIU,0.7534246575342466,1,1880,True,1970,970
14,5052-PNLOS,0.7534246575342466,1,1970,True,2060,1060
15,8161-QYMTT,0.7534246575342466,0,2060,False,2050,1050
16,8258-GSTJK,0.7534246575342466,1,2050,True,2140,1140
17,9248-OJYKK,0.7534246575342466,1,2140,True,2230,1230
18,0655-RBDUG,0.7397260273972601,1,2230,True,2320,1320
19,0970-ETWGE,0.7397260273972601,1,2320,True,2410,1410
20,1143-NMNQJ,0.7397260273972601,1,2410,True,2500,1500
21,2027-FECZV,0.7397260273972601,1,2500,True,2590,1590
22,2034-GDRCN,0.7397260273972601,1,2590,True,2680,1680
23,2495-INZWQ,0.7397260273972601,1,2680,True,2770,1770
24,2514-GINMM,0.7397260273972601,1,2770,True,2860,1860
25,2609-IAICY,0.7397260273972601,1,2860,True,2950,1950
26,3722-WPXTK,0.7397260273972601,1,2950,True,3040,2040
27,4115-NZRKS,0.7397260273972601,0,3040,False,3030,2030
28,4415-IJZTP,0.7397260273972601,1,3030,True,3120,2120
29,4587-VVTOX,0.7397260273972601,1,3120,True,3210,2210
30,4713-LZDRV,0.7397260273972601,1,3210,True,3300,2300
31,4927-WWOOZ,0.7397260273972601,0,3300,False,3290,2290
32,6230-BSUXY,0.7397260273972601,1,3290,True,3380,2380
33,6328-ZPBGN,0.7397260273972601,1,3380,True,3470,2470
34,6630-UJZMY,0.7397260273972601,0,3470,False,3460,2460
35,6857-VWJDT,0.7397260273972601,1,3460,True,3550,2550
36,6969-MVBAI,0.7397260273972601,0,3550,False,3540,2540
37,7181-BQYBV,0.7397260273972601,1,3540,True,3630,2630
38,8083-YTZES,0.7397260273972601,1,3630,True,3720,2720
39,8245-UMPYT,0.7397260273972601,1,3720,True,3810,2810
40,8593-WHYHV,0.7397260273972601,1,3810,True,3900,2900
41,8739-XNIKG,0.7397260273972601,0,3900,False,3890,2890
42,9221-OTIVJ,0.7397260273972601,1,3890,True,3980,2980
43,9611-CTWIH,0.7397260273972601,1,3980,True,4070,3070
44,8443-ZRDBZ,0.7241573223127756,1,4070,True,4160,3160
45,1320-HTRDR,0.6944444444444444,1,4160,True,4250,3250
46,2077-MPJQO,0.6944444444444444,0,4250,False,4240,3240
47,4090-KPJIP,0.6944444444444444,0,4240,False,4230,3230
48,4342-HENTK,0.6944444444444444,1,4230,True,4320,3320
49,5382-SOYZL,0.6944444444444444,0,4320,False,4310,3310
50,7130-VTEWQ,0.6944444444444444,1,4310,True,4400,3400
51,7180-PISOG,0.6944444444444444,1,4400,True,4490,3490
52,7235-NXZCP,0.6944444444444444,1,4490,True,4580,3580
53,7249-WBIYX,0.6944444444444444,1,4580,True,4670,3670
